מספר סידורי,קישור-באתר,שם הסרט,שנה,אורך,ז'אנר,שחקנים,תיקייה
1,http://www.torec.net/sub.asp?sub_id=45764,ג'ייסון בורן,2016,123 דקות,מתח / פעולה,וינסנט קאסל טומי לי ג'ונס מאט דיימון ג'וליה סטיילס אטו אסנדו ריז אחמד סטפן קונקן,movies/ג'ייסון בורן.txt
2,http://www.torec.net/sub.asp?sub_id=45763,מרו - לכבוש את הפסגה,2015,87 דקות,דוקומנטרי / הרפתקאות / מתח / ספורט,,movies/מרו - לכבוש את הפסגה.txt
3,http://www.torec.net/sub.asp?sub_id=45762,"בלשים בע""מ",2016,116 דקות,פעולה / פשע / קומדיה,ריאן גוסלינג ראסל קרואו קים בייסינגר קית' דיוויד יוון זימה יאיה דקוסטה מאט בומר,"movies/בלשים בע""מ.txt"
4,http://www.torec.net/sub.asp?sub_id=44573,פלה לידתה של אגדה,2016,107 דקות,ביוגרפיה / דרמה / ספורט,,movies/פלה לידתה של אגדה.txt
5,http://www.torec.net/sub.asp?sub_id=44500,וורקראפט ההתחלה,2016,113 דקות,הרפתקאות / פנטזיה / פעולה,קאלום קית' רני קלאנסי בראון דניאל וו בן פוסטר פאולה פאטון טובי קבל דניאל קודמור,movies/וורקראפט ההתחלה.txt
6,http://www.torec.net/sub.asp?sub_id=44387,הצייד מלחמת החורף,2016,114 דקות,דרמה / הרפתקאות / פנטזיה / פעולה,שרליז ת'רון ניק פרוסט רוב בריידון אמילי בלאנט ג'סיקה צ'סטיין כריס המסוורת' סאם הייזלדין,movies/הצייד מלחמת החורף.txt
7,http://www.torec.net/sub.asp?sub_id=45753,תמריץ,2016,95 דקות,דרמה / פעולה / פשע,דני טרחו דני גרסיה רוב נגל,movies/תמריץ.txt
8,http://www.torec.net/sub.asp?sub_id=45739,מלך שלי,2015,124 דקות,דרמה / רומנטיקה / זר (צרפתית),ונסן קאסל עמנואל ברקו לואי גארל איזליד לה בוסקו,movies/מלך שלי.txt
9,http://www.torec.net/sub.asp?sub_id=44410,אנגרי בירדס הסרט,2016,97 דקות,אנימציה / פעולה / קומדיה,ג'פרי ארנד פיטר דינקלג' טוני הייל מאיה רודולף דני מקברייד ביל היידר אייק ברינהולץ,movies/אנגרי בירדס הסרט.txt
10,http://www.torec.net/sub.asp?sub_id=45734,המספרה 3,2016,111 דקות,קומדיה,גרסל ביוויס שיין פטריק תומס רג'ינה הול אנתוני אנדרסון טרוי גריטי דה ריי דאביס ג'סמין לואיס,movies/המספרה 3.txt
11,http://www.torec.net/sub.asp?sub_id=45727,בלב היער,2015,101 דקות,דרמה / מדע בדיוני,אלן פייג' אוון רייצ'ל ווד מקס מינגהלה קאלום קית' רני,movies/בלב היער.txt
12,http://www.torec.net/sub.asp?sub_id=1685,רקוויאם לחלום,2001,100 דקות,דרמה / פשע,אלן ברנשטיין ג'רארד ליטו ג'ניפר קונלי מרלון ואיינס כריסטופר מקדונלד לואיז לסר מארשה ג'ין קורז,movies/רקוויאם לחלום.txt
13,http://www.torec.net/sub.asp?sub_id=13099,מלך קליפורניה,2007,96 דקות,קומדיה,מייקל דאגלס אוון רייצ'ל ווד אליסין אשלי ארם ויליס בורקס השני וויליס צ'אנג גרג דייויד ג'וניור גראלד אמריק,movies/מלך קליפורניה.txt
14,http://www.torec.net/sub.asp?sub_id=45720,נהר,2015,95 דקות,מתח,,movies/נהר.txt
15,http://www.torec.net/sub.asp?sub_id=45710,מסע בין כוכבים  הבוגדים,2015,88 דקות,מדע בדיוני,,movies/מסע בין כוכבים  הבוגדים.txt
16,http://www.torec.net/sub.asp?sub_id=44705,הכל הולך,2014,95 דקות,דרמה / קומדיה,שון וויליאם סקוט אוליביה תירלבי גארט דילהאנט קייט וולש קייל גלנר איבן רוס רוב ריגל,movies/הכל הולך.txt
17,http://www.torec.net/sub.asp?sub_id=44704,החיים הסודיים של חיות המחמד,2016,90 דקות,אנימציה,אלברט ברוקס לואיס סיקיי קווין הארט אריק סטונסטריט לייק בל,movies/החיים הסודיים של חיות המחמד.txt
18,http://www.torec.net/sub.asp?sub_id=44690,דמות אב,2015,94 דקות,דרמה / מתח,וינסנט קאסל ג'רמי צ'בריאל פלורנס מזארה,movies/דמות אב.txt
19,http://www.torec.net/sub.asp?sub_id=44686,קרימינל,2016,113 דקות,דרמה / פעולה / פשע,רוברט דבי טומי לי ג'ונס קווין קוסטנר מייקל פיט גארי אולדמן סטיבן ברנד ריאן ריינולדס גל גדות,movies/קרימינל.txt
