מילה,idf
אורסולה,7.4109518755836366
כורים,6.899723107284872
כורין,8.509967146324497
ומנופי,8.509967146324497
ניזונים,8.509967146324497
ומיני,7.8168199657645525
שהכישורים,7.8168199657645525
וולפנדן,7.8168199657645525
בטוסקנה,8.509967146324497
למניפולציה,8.509967146324497
בחבילה,8.509967146324497
רוסום,6.717804695023691
יפתחו,8.509967146324497
כחלל,8.509967146324497
דבריהם,8.509967146324497
בחבילת,8.509967146324497
ביופיים,8.509967146324497
פרינז,7.8168199657645525
שוממות,8.509967146324497
שצורף,7.8168199657645525
ביופייה,7.8168199657645525
עקרה,7.8168199657645525
בליגה,7.8168199657645525
קונגית,8.509967146324497
Vengeance,8.509967146324497
פונדק,8.509967146324497
גולגולתה,8.509967146324497
שינסוק,8.509967146324497
קופיקאט,8.509967146324497
המובך,8.509967146324497
בלתזאר,8.509967146324497
לבנייה,8.509967146324497
איירון,6.206575926724928
רקדנית,6.023447592961033
דונאלנד,8.509967146324497
ביקורתית,8.509967146324497
מזרנים,8.509967146324497
לאולה,8.509967146324497
קרי-אן,8.509967146324497
טרקטורים,8.509967146324497
כומר-לוחם,8.509967146324497
בריאזה,8.509967146324497
שהבעיות,8.509967146324497
התנהגות,6.899723107284872
בגורלם,8.509967146324497
ובנותיו,7.4109518755836366
ובנותיה,7.4109518755836366
סומפטר,7.123672785204607
הזדוני,8.509967146324497
וכאוס,8.509967146324497
וסיגנונן,8.509967146324497
הולנד,5.869296913133774
ומגיעות,8.509967146324497
פלטון,6.429719478039138
רקדנים,6.899723107284872
הכפשות,8.509967146324497
כתמונה,8.509967146324497
יפגשו,7.8168199657645525
שונאי,8.509967146324497
48,7.8168199657645525
לבניית,7.8168199657645525
קיוקו,7.8168199657645525
וניחוחות,8.509967146324497
ולעצב,8.509967146324497
מההרס,8.509967146324497
לשותפתו,8.509967146324497
אקרמן,5.942799375126701
וססגוניים,8.509967146324497
כנוכל,8.509967146324497
בייקון,5.5134287461649825
הושקעה,8.509967146324497
בייקום,7.8168199657645525
שיוצאת,6.206575926724928
דייגו,5.616771097666572
פנטסטיים,8.509967146324497
דת,6.111467339502679
המוכחת,8.509967146324497
דר,5.869296913133774
שישלוט,8.509967146324497
דף,5.869296913133774
ומשקפיים,8.509967146324497
טסוקאמוטו,8.509967146324497
האמינה,7.4109518755836366
פרלנד,7.123672785204607
טצויה,8.509967146324497
השמש,5.41610040220442
דפ,4.919980925828125
השמח,7.8168199657645525
להשתיק,7.8168199657645525
די,4.248495242049359
מחוטפים,8.509967146324497
דן,4.30406509320417
לשכנעו,8.509967146324497
דם,4.61512051684126
למאפיה,6.899723107284872
השמן,7.8168199657645525
דג,5.942799375126701
דב,5.736572297479192
מסתיר,6.429719478039138
מיאזאקי,7.123672785204607
סנגסטר,8.509967146324497
דו,6.111467339502679
דה,3.332204510175204
46,8.509967146324497
קרציה,8.509967146324497
חמוץ,8.509967146324497
ג'וסטין,8.509967146324497
חמור,6.5638555265321274
הומוסקסואלית,8.509967146324497
בדבלין,7.123672785204607
העצם,7.8168199657645525
חלבונים,8.509967146324497
יצילו,7.8168199657645525
וחום,7.8168199657645525
תמצאו,7.8168199657645525
ואסונות,8.509967146324497
מהירים,7.4109518755836366
יחצה,8.509967146324497
מהמר-לשעבר,8.509967146324497
מאיארה,8.509967146324497
איראנית,8.509967146324497
מנשקת,7.8168199657645525
יחצן,8.509967146324497
יחזירו,8.509967146324497
הקבועות,8.509967146324497
וחוש,7.8168199657645525
האנוש,5.799092654460526
שג'ס,8.509967146324497
וטוב,6.5638555265321274
פבריזי,8.509967146324497
וטום,6.899723107284872
והגיבורה,8.509967146324497
בניאר,8.509967146324497
שאורכה,8.509967146324497
כשאבי,8.509967146324497
מוטולה,8.509967146324497
הרדנרים,8.509967146324497
אפיסיט,8.509967146324497
בחלונות,7.4109518755836366
טאגליוני,8.509967146324497
דינמיט,8.509967146324497
מציאת,6.429719478039138
סאנדיי,8.509967146324497
בסטפני,8.509967146324497
ג''ק,8.509967146324497
גצוהי,8.509967146324497
ועצם,7.4109518755836366
לסכנות,7.8168199657645525
הסכרים,8.509967146324497
הפרטי,7.123672785204607
מציאג,8.509967146324497
ומטונף,8.509967146324497
מחייו,6.023447592961033
ועצב,7.8168199657645525
המתקן,6.899723107284872
בפיתוח,8.509967146324497
שישבה,8.509967146324497
שארלוט,7.4109518755836366
יבוא,7.8168199657645525
שקאר,8.509967146324497
דחוסה,8.509967146324497
למק'אפרי,8.509967146324497
לבובות,8.509967146324497
יחפש,7.8168199657645525
הקפוארה,8.509967146324497
ולסטו,7.8168199657645525
קריצלאו,7.8168199657645525
מחבל,7.4109518755836366
זהויות,7.8168199657645525
בחנו,8.509967146324497
כשהמסע,8.509967146324497
בגחמתו,8.509967146324497
ונטימיליה,6.429719478039138
שאנה,6.717804695023691
טרינטיגנאנט,8.509967146324497
השיחיות,8.509967146324497
מפתחות,8.509967146324497
לדגל,7.8168199657645525
החיות,5.564520407322694
יאנוצ'י,8.509967146324497
ג'ארד,7.123672785204607
והתמודדותו,8.509967146324497
והתמודדותה,8.509967146324497
לדגר,6.717804695023691
דרומי,7.4109518755836366
לטיני-אמריקאי,8.509967146324497
נפצעים,8.509967146324497
פארלי,6.899723107284872
החיוך,7.4109518755836366
בורם,7.4109518755836366
החובות,7.4109518755836366
בגלקסיית,8.509967146324497
דרומה,6.899723107284872
התגרשו,7.8168199657645525
מחבר,6.206575926724928
אבדללה,8.509967146324497
הלורד,6.717804695023691
השותפההיפיפיה,8.509967146324497
בורט,7.4109518755836366
פיורפוי,7.123672785204607
להישתתף,8.509967146324497
לאומי,6.111467339502679
פובליציסט,8.509967146324497
סוטירוב,8.509967146324497
להתכחש,8.509967146324497
אנוס,6.899723107284872
La,8.509967146324497
ידביקו,8.509967146324497
מגלגלת,7.8168199657645525
והמחלוקות,8.509967146324497
Prison,8.509967146324497
אנוש,5.564520407322694
המבעית,8.509967146324497
האמון,7.123672785204607
וצ'אפי,8.509967146324497
היטיב,7.8168199657645525
והסגן,8.509967146324497
סן-פרנסיסקו,8.509967146324497
תקשורים,8.509967146324497
טמבקיס,7.8168199657645525
''חבר'',8.509967146324497
פורצות,8.509967146324497
שסם,8.509967146324497
לטרגדיה,7.8168199657645525
וארוחות,8.509967146324497
והאימתנית,8.509967146324497
האיסמן,8.509967146324497
הפיג'מות,8.509967146324497
בחסותו,8.509967146324497
שלנו,5.075173815233827
מסתכל,8.509967146324497
באלקטרז,8.509967146324497
בורג,7.8168199657645525
מהג'ונגל,8.509967146324497
דייאן,8.509967146324497
באמיטוויל,8.509967146324497
אדרמן,8.509967146324497
חדשותית,8.509967146324497
קרווס,7.4109518755836366
אחר-חצות,8.509967146324497
במעלות,8.509967146324497
היציבה,8.509967146324497
המגדלים,7.4109518755836366
הראשיים:,8.509967146324497
המתכונן,8.509967146324497
גילפורד,6.717804695023691
wrong,8.509967146324497
נחתך,8.509967146324497
לבניין,6.717804695023691
ונחטף,8.509967146324497
מודגש,8.509967146324497
הביצועי-מנהלי,8.509967146324497
וויטפורד,8.509967146324497
בבולטימור,7.8168199657645525
נחתה,8.509967146324497
ובשלטון,7.8168199657645525
נקמתו,6.429719478039138
מנטלית,8.509967146324497
שמטעין,8.509967146324497
התשעים,7.123672785204607
רואיידרי,8.509967146324497
אולימפי,7.8168199657645525
נקמתם,7.8168199657645525
ואלימות,6.023447592961033
אליזבת:,8.509967146324497
וקסם,7.8168199657645525
ממחישים,8.509967146324497
שהחזיק,7.4109518755836366
המודיעים,8.509967146324497
ומסתורים,8.509967146324497
קרוון,7.123672785204607
התשוקה,5.799092654460526
פרנאסוס,8.509967146324497
ונגרוב,8.509967146324497
ליוקרתית,8.509967146324497
בעובדה,8.509967146324497
ולסמל,8.509967146324497
'ציון'מתוגברבאזרחים,8.509967146324497
מחילה,7.123672785204607
הפנה,8.509967146324497
שיכורים,7.4109518755836366
מבונקר,8.509967146324497
במנהיג,7.8168199657645525
המשתנים,7.4109518755836366
כתבים,8.509967146324497
והושאר,8.509967146324497
מסרי,8.509967146324497
מסרט,7.123672785204607
אברומיט,8.509967146324497
שקמו,8.509967146324497
מסרב,5.564520407322694
הפנר,8.509967146324497
ולצד,8.509967146324497
מחילת,8.509967146324497
המדעיות,7.8168199657645525
תעזוב,7.4109518755836366
ראסוק,8.509967146324497
'בארץ,8.509967146324497
שהקללה,8.509967146324497
ובכוונתו,7.8168199657645525
מכללה,7.8168199657645525
שהמנזר,8.509967146324497
נורתמן,8.509967146324497
מציגה,6.5638555265321274
פולאנקו,7.8168199657645525
ג`דיי,8.509967146324497
קלוקלת,7.8168199657645525
לפופולריות,8.509967146324497
אסמילי,8.509967146324497
