מילה,מספר מופעים
אורסולה,7
כורים,5
כורין,2
ומנופי,1
ניזונים,1
ומיני,2
שהכישורים,2
וולפנדן,4
בטוסקנה,1
למניפולציה,1
בחבילה,1
רוסום,12
מוטציה,6
בחבילת,1
ביופיים,1
פרינז,5
שוממות,1
מרקוס,27
ביופייה,3
עקרה,2
ומבינות,1
פונדק,1
גולגולתה,1
קופיקאט,2
בלתזאר,3
לבנייה,1
איירון,17
רקדנית,14
דונאלנד,2
מיומנים,8
מזרנים,1
הנדרים,1
לאולה,2
קרי-אן,2
טרקטורים,1
כומר-לוחם,1
התנהגות,5
ובנותיו,3
ובנותיה,3
סומפטר,7
שהמנזר,1
וסיגנונן,1
הולנד,24
למכורים,2
פלטון,15
רקדנים,5
הכפשות,1
כתמונה,1
פאליקי,6
יפגשו,2
לבניית,2
בונוויל,4
וניחוחות,1
ולעצב,1
כשוטר,8
לשותפתו,1
וססגוניים,1
שבביתו,1
בייקון,43
הושקעה,1
בייקום,2
שיוצאת,10
דייגו,34
פנטסטיים,1
דת,11
דש,2
דר,29
שישלוט,1
דף,19
האפית,3
טסוקאמוטו,2
האמינה,4
פרלנד,8
טצויה,2
השמש,30
דפ,98
השמח,2
להשתיק,2
די,112
מחוטפים,1
דן,127
לשכנעו,1
דם,62
למאפיה,5
השמן,2
דג,17
דב,24
מסתיר,8
מיאזאקי,5
דראו,2
דו,19
דה,354
ומכווצות,1
ג'וסטין,1
דראן,1
הומוסקסואלית,1
בדבלין,4
העצם,3
חלבונים,1
משתדלת,1
וחום,2
ואסונות,1
מהירים,3
יחצה,1
מהמר-לשעבר,1
מאיארה,2
מנשקת,2
יחצן,1
יחזירו,1
הקבועות,1
וחוש,2
האנוש,17
המובא,1
וטוב,7
פבריזי,2
עבודות:,1
וטום,6
והגיבורה,1
בניאר,2
שאורכה,1
כשאבי,1
מוטולה,2
הרדנרים,1
אפיסיט,2
שמיעה,1
מאיבוד,2
דינמיט,2
מציאת,8
סאנדיי,1
שמוליך,1
בסטפני,1
ג''ק,2
גצוהי,2
ועצם,6
לסכנות,2
הסכרים,1
הפרטי,4
מציאג,2
ומטונף,1
מחייו,12
ועצב,2
המתקן,5
בפיתוח,1
כשאור,1
שצדים,3
שארלוט,5
יבוא,2
שקאר,1
דחוסה,1
למק'אפרי,1
יחפש,2
בזאיר,1
קריצלאו,4
מחבל,3
זהויות,2
בחנו,1
בגחמתו,1
ונטימיליה,16
שאנה,9
טרינטיגנאנט,2
השיחיות,1
מפתחות,1
לדגל,2
החיות,37
יאנוצ'י,1
ג'ארד,4
והתמודדותו,1
והתמודדותה,1
גרושה,8
לדגר,12
דרומי,3
לטיני-אמריקאי,1
נפצעים,1
הסיבובים,1
החיוך,3
ייחודית,7
כשסלין,2
דרומה,5
נרתמים,1
מחבר,10
וקפדנית,1
ליצמן,8
השותפההיפיפיה,1
והקרקס,1
פיורפוי,8
להישתתף,1
לאומי,15
פובליציסט,1
סוטירוב,2
להתמחות,3
