מסמך,גודל
4446,55
4412,50
3734,161
4447,143
4026,117
3724,156
4024,82
4025,150
4022,121
4023,80
4020,109
3725,50
3798,104
4028,116
4029,84
4607,32
4642,52
4417,88
4261,146
344,89
345,126
346,180
347,80
340,68
341,101
342,125
343,121
2918,67
3996,110
3995,61
3994,286
348,87
349,27
3990,79
4686,119
4844,123
3530,70
4643,57
4186,119
4416,129
4684,101
3002,209
4685,101
2919,125
1653,54
4682,69
4683,59
4732,125
4733,82
4730,78
4731,79
4736,113
4640,98
2318,84
2319,110
2316,91
2317,97
2314,66
2315,90
2312,65
2313,122
2310,140
2311,192
4527,72
298,101
299,89
296,55
297,76
294,101
295,71
292,34
293,69
290,54
291,108
3773,133
3772,128
3771,82
3770,97
3777,107
3776,100
3775,133
3774,63
2147,94
3779,82
3778,89
4522,82
270,92
271,67
272,103
273,33
274,56
275,27
276,69
277,37
278,79
279,54
4520,212
4659,88
4658,94
3465,176
3211,34
4413,95
3163,76
1780,244
2146,122
2268,73
2269,49
4781,97
2262,86
2263,144
2260,113
2261,55
2266,83
2267,61
2264,114
2265,89
2442,137
2443,88
2440,46
2441,113
1781,177
2447,138
2444,91
2445,134
2448,70
2449,221
2189,88
108,263
109,89
4830,120
102,128
103,75
100,71
101,80
106,149
107,77
104,62
105,84
2046,94
2047,86
2044,135
2045,133
2042,100
2043,109
2040,53
2041,79
4819,71
3198,74
2048,144
2049,96
4832,66
3150,66
4645,109
4978,68
3155,81
3154,50
3238,106
1372,8
2737,90
2038,115
2836,91
4456,98
3159,47
3597,126
4979,134
1001,116
3158,216
3513,148
3512,146
3511,109
3446,152
1210,105
3239,59
3515,129
1375,104
2688,75
2689,53
2684,113
2685,102
2686,98
2687,96
2680,79
1655,107
2682,92
2683,87
3391,110
3999,64
3390,57
1374,66
99,173
98,112
3019,54
4937,107
91,79
90,89
93,67
92,82
95,348
94,53
97,111
96,295
1623,66
1622,218
1621,60
1620,64
1627,30
1626,62
1625,77
1624,94
1999,111
1998,115
1629,103
1377,67
3209,90
3208,111
3013,88
4974,89
4526,134
2860,87
2861,49
2862,14
2863,148
559,25
558,63
2866,86
2867,136
555,124
554,82
557,108
556,191
551,101
550,106
553,78
552,64
2744,108
3538,80
1439,81
4525,161
1199,147
1198,136
3348,211
3349,84
4971,154
1191,46
1190,91
1193,34
1192,56
1195,84
1194,111
1197,44
1196,157
4976,113
1759,104
1758,144
1757,124
1756,107
1755,110
1754,116
1753,178
1752,121
1751,72
1750,83
1177,54
1176,33
1175,145
1174,64
1173,88
1172,57
1171,84
1170,66
4251,94
4250,101
4253,84
4252,79
4255,176
4254,52
1179,98
1178,47
511,36
4977,65
2964,68
510,159
3440,77
4523,98
513,42
1285,43
1284,95
1287,113
512,28
1281,52
1280,49
1283,81
1282,48
1003,83
879,100
1289,78
1288,56
514,79
3430,50
1579,101
1578,63
689,130
688,28
3431,88
685,168
684,56
687,45
686,50
681,46
680,121
683,24
682,119
458,45
3433,55
1349,135
3434,92
621,96
873,85
1224,57
3436,107
1223,74
3437,108
4152,137
1222,101
2741,39
4389,56
4388,80
1221,121
2740,45
4383,80
4382,106
4381,96
1220,38
4387,103
2743,15
4385,144
4384,61
407,50
406,51
405,62
404,48
403,82
402,38
401,65
400,37
1379,106
1378,139
1342,70
409,39
408,39
3834,105
3835,74
3836,74
1343,94
3830,151
2747,66
3832,53
3833,63
3971,89
454,28
2148,425
3838,65
3839,108
455,87
4031,101
2749,56
4033,70
4032,64
4035,106
1346,44
4037,76
2748,121
4039,162
4038,62
1347,93
4846,56
4981,88
4737,117
3796,119
3569,79
4734,81
4735,109
3206,121
379,47
378,50
3620,130
4842,89
371,120
370,69
373,92
372,47
375,75
374,83
377,52
376,68
4739,115
2295,34
3093,101
4940,79
3205,185
393,113
392,25
391,68
390,27
397,100
396,90
395,69
394,109
4404,51
399,92
398,56
3593,101
895,78
2309,70
2308,48
4729,84
4594,100
2301,59
2300,106
2303,92
2302,63
2305,101
2304,203
2307,87
2306,62
4676,98
4696,123
3592,112
2746,165
4919,87
3748,130
3749,69
3746,50
3203,56
